15
8
192
478.240	-397.143	0.000
478.135	-395.813	0.000
834.138	-390.459	0.000
840.425	-414.707	-0.493
478.240	-397.143	0.000
834.138	-390.459	0.000
840.425	-414.707	-0.493
834.138	-390.459	0.000
834.803	-390.407	0.000
840.425	-414.707	-0.493
834.803	-390.407	0.000
838.484	-390.116	0.000
840.425	-414.707	-0.493
840.530	-416.036	-0.520
478.240	-397.143	0.000
840.530	-416.036	-0.520
479.813	-417.081	0.000
478.240	-397.143	0.000
479.918	-418.410	0.000
479.813	-417.081	0.000
840.530	-416.036	-0.520
808.919	-419.740	0.000
479.918	-418.410	0.000
840.530	-416.036	-0.520
808.919	-419.740	0.000
779.467	-425.412	0.000
479.918	-418.410	0.000
779.467	-425.412	0.000
750.494	-433.171	0.000
479.918	-418.410	0.000
750.494	-433.171	0.000
481.858	-443.000	-0.493
479.918	-418.410	0.000
511.263	-443.043	0.000
481.858	-443.000	-0.493
750.494	-433.171	0.000
541.248	-443.749	0.000
511.263	-443.043	0.000
750.494	-433.171	0.000
575.070	-447.014	0.000
541.248	-443.749	0.000
750.494	-433.171	0.000
602.839	-457.645	0.000
575.070	-447.014	0.000
750.494	-433.171	0.000
708.364	-465.953	0.000
602.839	-457.645	0.000
750.494	-433.171	0.000
708.364	-465.953	0.000
628.680	-493.051	0.000
602.839	-457.645	0.000
698.266	-493.990	0.000
628.680	-493.051	0.000
708.364	-465.953	0.000
698.266	-493.990	0.000
636.172	-522.094	0.000
628.680	-493.051	0.000
694.842	-525.632	0.000
636.172	-522.094	0.000
698.266	-493.990	0.000
694.842	-525.632	0.000
641.668	-551.580	0.000
636.172	-522.094	0.000
693.817	-555.608	0.000
641.668	-551.580	0.000
694.842	-525.632	0.000
693.817	-555.608	0.000
694.885	-584.916	0.000
641.668	-551.580	0.000
694.885	-584.916	0.000
693.555	-585.013	0.000
641.668	-551.580	0.000
693.555	-585.013	0.000
681.587	-585.888	0.000
641.668	-551.580	0.000
681.587	-585.888	0.000
680.257	-585.985	0.000
